English_name,sumWeeklyHealthHours,SumPopulation,SumPopulation_CompletedFromExternalData,NumberOfCities_smaller35km,Jewish_precent,Arab_precent,Jewish_Arabs_precent_CompletedFromExternalData,precentPopulation_over20,ClalitPrecent_fromTatal,ClalitPrecent_fromTatal_CompletedFromExternalData,MacabiPrecent_fromTatal,MacabiPrecent_fromTatal_CompletedFromExternalData,MeuhedetPrecent_fromTatal,MeuhedetPrecent_fromTatal_CompletedFromExternalData,LeumitPrecent_fromTatal,LeumitPrecent_fromTatal_CompletedFromExternalData,SocioeconomicStatusֹ,SocioeconomicStatusֹ_CompletedFromExternalData,periphery,Jerusalem_district,North_district,Center_district,Haifa_district,TLV_district,South_district,Clinic_hours_for_1000_people,Clinic_hours_for_1000_people_bigger9
ABU GHOSH,104,7880,0,60,0,98.9,0,64.5,86.6,0,2.6,0,10.1,0,0.7,0,3,0,1,1,0,0,0,0,0,13.19796954,0
ABU SINAN,359.5,14455,0,70,0,99.8,0,68.5,62.9,0,8.1,0,4.9,0,24.1,0,3,0,1,0,1,0,0,0,0,24.8702871,0
EVEN YEHUDA,157.4996,14266,0,47,98.3,1.07,0,65.1,42.2,0,40.7,0,14.4,0,2.7,0,8,1,0,0,0,1,0,0,0,11.04020749,0
UMM AL-FAHM,759.083,57677,0,108,0,99.9,0,60.1,71.3,1,8,1,20.5,1,0.2,1,2,1,1,0,0,0,1,0,0,13.1609307,0
OFAQIM,748.8333,33999,0,25,93.4,0,0,62.9,66.6,0,26.4,0,1.1,0,5.9,0,3,0,1,0,0,0,0,0,1,22.02515662,0
OR YEHUDA,497.1663,36815,0,106,97.6,0,0,74,57.2,0,35.8,0,2,0,5,0,5,0,1,0,0,0,0,1,0,13.50444927,0
OR AQIVA,426.1666,19902,0,59,91.5,0,0,75.1,64,0,19.5,0,10.6,0,5.9,0,5,0,1,0,0,0,1,0,0,21.41325495,0
ORANIT,123.4999,9114,0,56,98.5,0,0,65.3,39.2,0,53.4,0,4,0,3.4,0,8,0,0,0,0,1,0,0,0,13.55057055,0
AZOR,169.5,13474,0,90,93.4,0,0,75.6,41.1,0,53.2,0,2.9,0,2.7,0,7,0,0,0,0,0,0,1,0,12.57978329,0
ELAT,994.2498,52753,0,1,83.2,4.7,0,76.5,55.4,0,35.5,0,3.7,0,5.4,0,6,0,1,0,0,0,0,0,1,18.84726556,0
IKSAL,178.25,15146,0,83,0,99.9,0,62.3,84.6,0,11.2,0,0.8,0,3.3,0,3,0,1,0,1,0,0,0,0,11.76878384,0
El Batof,112.5,8408,0,109,0,99.9,0,60.91,80.1,0,0.9,0,18.2,0,0.8,0,2,0,1,0,1,0,0,0,0,13.38011418,0
EL KASUM,71,17270,0,14,0,99.6,0,47.1,79.5,0,1,0,5.7,0,13.8,0,1,0,1,0,0,0,0,0,1,4.111175449,1
ALONA,13,2275,0,3,98.4,0,0,66.5,32.5,0,31.3,0,9.3,0,26.9,0,8,0,0,0,0,0,1,0,0,5.714285714,1
ELYAKHIN,46,3461,0,31,98.9,0,0,73.4,75.4,0,11.1,0,8.8,0,4.7,0,7,0,0,0,0,1,0,0,0,13.29095637,0
EL'AD,694.3663,49593,0,111,100,0,0,41.4,34.5,0,32.2,0,23.5,0,9.7,0,2,0,1,0,0,1,0,0,0,14.00129655,0
ALFE MENASHE,33,7966,0,90,96.1,0,0,67,45,0,47.7,0,5.5,0,1.9,0,8,0,0,0,0,1,0,0,0,4.142606076,1
ELQANA,84.75,4072,0,79,99.8,0,0,64.9,52.4,0,34.2,0,4.4,0,9,0,8,0,0,0,0,1,0,0,0,20.81286837,0
I'BILLIN,329.5,13692,0,99,0,99.9,0,66.6,73.6,0,11.5,0,11.1,0,3.9,0,3,0,1,0,1,0,0,0,0,24.06514753,0
EFRAT,443.5998,11804,0,36,99.7,0,0,55.8,23.4,0,36.4,0,38.3,0,1.9,0,7,0,0,1,0,0,0,0,0,37.58046425,0
ARI'EL,457.5333,19647,0,66,80.5,0,0,77.6,41.4,0,37.8,0,3.4,0,17.4,0,6,0,1,0,0,1,0,0,0,23.28769278,0
ASHDOD,4197.9159,225975,0,70,89.6,0,0,72.9,31.9,0,31,0,19.9,0,17.2,0,5,0,1,0,0,0,0,0,1,18.57690408,0
ESHKOL,194,15205,0,8,95.5,0,0,65.3,81.4,0,17.3,0,0.9,0,0.5,0,6,0,1,0,0,0,0,0,1,12.75896087,0
ASHQELON,2597.7664,149160,0,50,86,0,0,76,49.7,0,28.5,0,11.5,0,10.3,0,5,0,1,0,0,0,0,0,1,17.41597211,0
BAQA AL-GHARBIYYE,445.6666,30973,0,100,0,99.9,0,60.6,72.5,1,4.8,1,11.6,1,11.1,1,3,1,1,0,0,0,1,0,0,14.38887418,0
BE'ER TUVEYA,218.1666,23841,0,55,98.5,0,0,68.8,66,0,19,0,8.2,0,6.8,0,7,0,0,0,0,0,0,0,1,9.150899711,0
BE'ER YA'AQOV,287.5826,29852,0,94,96.3,0,0,61.2,49.4,0,39.8,0,7.3,0,3.5,0,7,0,0,0,0,1,0,0,0,9.633612488,0
BE'ER SHEVA,4437.6313,211251,0,43,88.4,0,0,77.5,61.8,0,25.3,0,4.5,0,8.5,0,5,0,1,0,0,0,0,0,1,21.00643926,0
BUSTAN EL MARGE,88,8137,0,41,0,99.9,0,65.4,84.9,0,1.4,0,13,0,0.7,0,3,0,1,0,1,0,0,0,0,10.81479661,0
BU'EINE-NUJEIDAT,185,10137,0,71,0,99.8,0,60.5,70.6,1,0.3,1,11.7,1,17.4,1,2,1,1,0,1,0,0,0,0,18.24997534,0
BUQ'ATA,373,6752,0,14,0,100,0,69,54.5,0,11.2,0,10.3,0,24,0,3,0,1,0,1,0,0,0,0,55.242891,0
BIR EL-MAKSUR,190,9959,0,89,0,100,0,60.4,61.6,1,2.4,1,14.8,1,21.2,1,2,1,1,0,1,0,0,0,0,19.0782207,0
BET EL,87.5833,5681,0,34,99.8,0,0,53.4,50.9,0,5.3,0,2.8,0,41.1,0,4,0,1,0,0,1,0,0,0,15.41688083,0
BET ARYE,51.4,5409,0,5,95.8,0,0,64.7,23.5,0,36.3,0,5.6,0,34.6,0,7,0,0,0,0,1,0,0,0,9.502680717,0
BEIT JANN,200,12307,0,88,0,100,0,71.4,46.4,0,0.2,0,31.5,0,21.9,0,4,0,1,0,1,0,0,0,0,16.25091411,0
BET DAGAN,121.25,7644,0,58,97.5,0,0,74,49.9,0,34.2,0,13.4,0,2.4,0,7,0,0,0,0,1,0,0,0,15.86211408,0
BET SHE'AN,363,18900,0,46,97.9,0,0,70.3,93,0,6.4,0,0.3,0,0.3,0,5,0,1,0,1,0,0,0,0,19.20634921,0
BET SHEMESH,2475.3646,141764,0,90,98.7,0,0,46.3,25.8,0,13.6,0,42.1,0,18.5,0,2,0,1,1,0,0,0,0,0,17.46116503,0
BETAR ILLIT,652.1985,63220,0,49,100,0,0,37.2,19.4,1,4.5,1,47.9,1,28.2,1,1,1,1,1,0,0,0,0,0,10.31633186,0
BENE BERAQ,2206.2326,212395,0,108,99.4,0,0,50.3,24.7,0,48.9,0,16.3,0,10.1,0,2,0,1,0,0,0,0,1,0,10.38740366,0
BNEI HAYSH,118.5,6895,0,37,80.3,19.7,0,74.3,47.1,1,24,1,26.6,1,2.3,1,5,1,1,0,0,1,0,0,0,17.18636693,0
BNEI SHIMON,60.5,11419,0,36,98.3,0,0,61.1,79.6,0,17.2,0,1.4,0,1.9,0,7,0,1,0,0,0,0,0,1,5.298187232,1
BINYAMINA,351.5,16075,0,56,96.4,3.6,0,63.3,44.8,1,37.2,1,12,1,6.1,1,8,1,0,0,0,0,1,0,0,21.86625194,0
BASMA,229.75,10497,0,62,0,100,0,59,74.7,1,4.9,1,19.7,1,0.7,1,2,1,1,0,0,0,1,0,0,21.88720587,0
BASMAT TAB'UN,17.5,8068,0,67,0,99.7,0,65.5,88.1,0,9.9,0,0.8,0,1.2,0,3,0,1,0,1,0,0,0,0,2.169062965,1
BI NE,232.75,8536,0,108,0,99.8,0,65.1,61.3,0,2.7,0,15.2,0,20.8,0,2,0,1,0,1,0,0,0,0,27.26686973,0
BAT YAM,2529.6499,126290,0,104,78.1,0,0,87.9,37,0,49.5,0,7.2,0,6.3,0,5,0,1,0,0,0,0,1,0,20.0304846,0
JAAT,204.5,12473,0,59,0,99.9,0,65.3,60.9,0,1.2,0,9.1,0,28.9,0,5,0,1,0,0,0,1,0,0,16.39541409,0
GIV'AT BRENNER,27.75,8046,0,64,98.2,0,0,70.3,63.8,0,24.1,0,11.2,0,0.9,0,8,0,0,0,0,1,0,0,0,3.448918717,1
GIV'AT ZE'EV,231.8333,20034,0,47,99.2,0,0,55.4,34.4,0,14.1,0,41.2,0,10.3,0,5,0,1,1,0,0,0,0,0,11.57199261,0
GIV'AT SHEMU'EL,376.2499,28162,0,100,98.7,0,0,69.3,37.1,0,49.7,0,8.6,0,4.6,0,8,0,0,0,0,1,0,0,0,13.36019814,0
GIV'ATAYIM,767.4163,61281,0,99,96.5,0,0,82.7,39.4,0,51.6,0,5.7,0,3.2,0,9,0,0,0,0,0,0,1,0,12.52290759,0
JUDEIDE-MAKER,416,21507,0,71,0,100,0,64.1,85.5,1,1.3,1,3.7,1,9.4,1,2,1,1,0,1,0,0,0,0,19.34253964,0
GEDERA,450.8333,30392,0,75,97.4,0,0,66.5,59,0,25.8,0,14.1,0,1.1,0,7,0,0,0,0,1,0,0,0,14.83394643,0
GDEROT,75.25,5192,0,46,98.8,0,0,72.6,55.4,0,31.2,0,10.3,0,3.1,0,9,0,0,0,0,1,0,0,0,14.49345146,0
GOLAN,380.6665,19214,0,27,97,0,0,56.4,78.6,0,16.5,0,1.3,0,3.5,0,6,0,1,0,1,0,0,0,0,19.81193401,0
